Date;Exchange
17.09.2020;74,9278
16.09.2020;75,1884
15.09.2020;74,7148
12.09.2020;74,8896
11.09.2020;75,5274
10.09.2020;76,0713
09.09.2020;75,9645
08.09.2020;75,5910
05.09.2020;75,1823
04.09.2020;75,4680
03.09.2020;73,8588
02.09.2020;73,5849
01.09.2020;73,8039
29.08.2020;74,6382
28.08.2020;75,2354
27.08.2020;75,5379
26.08.2020;74,5126
25.08.2020;74,4184
22.08.2020;74,0999
21.08.2020;73,7711
20.08.2020;73,2392
19.08.2020;73,4321
18.08.2020;72,9676
15.08.2020;73,2157
14.08.2020;73,6067
13.08.2020;73,2351
12.08.2020;73,1522
11.08.2020;73,7750
08.08.2020;73,6376
07.08.2020;73,0397
06.08.2020;73,2806
05.08.2020;73,3806
04.08.2020;74,1586
01.08.2020;73,4261
31.07.2020;73,3633
30.07.2020;72,2348
29.07.2020;71,9196
28.07.2020;71,5850
25.07.2020;71,5974
24.07.2020;70,9630
23.07.2020;70,7881
22.07.2020;70,9668
21.07.2020;71,9628
18.07.2020;71,7139
17.07.2020;71,2310
16.07.2020;70,7998
15.07.2020;71,1275
14.07.2020;70,7479
11.07.2020;71,2298
10.07.2020;70,8800
09.07.2020;71,2379
08.07.2020;72,1719
07.07.2020;71,3409
04.07.2020;70,4999
03.07.2020;70,5198
02.07.2020;70,4413
01.07.2020;70,4413
30.06.2020;69,9513
27.06.2020;69,1284
26.06.2020;69,4660
25.06.2020;68,8376
24.06.2020;68,8376
23.06.2020;69,4835
20.06.2020;69,5725
19.06.2020;69,6180
18.06.2020;69,4822
17.06.2020;69,7524
16.06.2020;70,3950
12.06.2020;69,1219
11.06.2020;68,6183
10.06.2020;68,6745
09.06.2020;68,3123
06.06.2020;68,6319
05.06.2020;69,0151
04.06.2020;68,3413
03.06.2020;68,9831
02.06.2020;69,7114
30.05.2020;70,7520
29.05.2020;71,1012
28.05.2020;71,0635
27.05.2020;71,1408
26.05.2020;71,5962
23.05.2020;71,8804
22.05.2020;70,9240
21.05.2020;72,3381
20.05.2020;72,3918
19.05.2020;72,9798
16.05.2020;73,2056
15.05.2020;73,9298
14.05.2020;73,5819
13.05.2020;73,4326
09.05.2020;73,8725
08.05.2020;74,1169
07.05.2020;73,9719
01.05.2020;72,7263
30.04.2020;73,6894
29.04.2020;74,5706
28.04.2020;74,4960
25.04.2020;74,7163
24.04.2020;75,1290
23.04.2020;77,0416
22.04.2020;76,2562
21.04.2020;74,6657
18.04.2020;73,9441
17.04.2020;74,7119
16.04.2020;73,7145
15.04.2020;73,3150
14.04.2020;73,5245
11.04.2020;73,7515
10.04.2020;74,6050
09.04.2020;75,7499
08.04.2020;75,4550
07.04.2020;76,4074
28.03.2020;77,7325
27.03.2020;78,7223
26.03.2020;77,7928
25.03.2020;78,8493
24.03.2020;80,8815
21.03.2020;78,0443
20.03.2020;80,1570
19.03.2020;77,2131
18.03.2020;73,8896
17.03.2020;74,1262
14.03.2020;73,1882
13.03.2020;74,0274
12.03.2020;71,4720
11.03.2020;72,0208
07.03.2020;67,5175
06.03.2020;66,1854
05.03.2020;66,0784
04.03.2020;66,4437
03.03.2020;66,3274
29.02.2020;66,9909
28.02.2020;65,6097
27.02.2020;65,5177
26.02.2020;64,9213
22.02.2020;64,3008
21.02.2020;63,7413
20.02.2020;63,6873
19.02.2020;63,7698
18.02.2020;63,3085
15.02.2020;63,4536
14.02.2020;63,6016
13.02.2020;63,0470
12.02.2020;63,9490
11.02.2020;63,7708
08.02.2020;63,4720
07.02.2020;62,7977
06.02.2020;63,1742
05.02.2020;63,4342
04.02.2020;63,9091
01.02.2020;63,1385
31.01.2020;63,0359
30.01.2020;62,3934
29.01.2020;62,8299
28.01.2020;62,3380
25.01.2020;61,8031
24.01.2020;61,9515
23.01.2020;61,8343
22.01.2020;61,8552
21.01.2020;61,4654
