Date,Exchange
01.01.2015,"56,24"
13.01.2015,"62,74"
14.01.2015,"64,84"
15.01.2015,"66,1"
16.01.2015,"64,83"
17.01.2015,"65,17"
20.01.2015,"64,97"
21.01.2015,"64,99"
22.01.2015,"65,56"
23.01.2015,"65,4"
24.01.2015,"63,39"
27.01.2015,"65,59"
28.01.2015,"67,82"
29.01.2015,"67,15"
30.01.2015,"68,73"
31.01.2015,"68,93"
03.02.2015,"69,66"
04.02.2015,"67,77"
05.02.2015,"65,45"
06.02.2015,"68,61"
07.02.2015,"66,04"
10.02.2015,"65,78"
11.02.2015,"65,45"
12.02.2015,"66,06"
13.02.2015,"66,1"
14.02.2015,"65,09"
17.02.2015,"62,66"
18.02.2015,"62,84"
19.02.2015,"62,4"
20.02.2015,"62,13"
21.02.2015,"61,72"
25.02.2015,"63,51"
26.02.2015,"62,59"
27.02.2015,"60,71"
28.02.2015,"61,27"
03.03.2015,"62,22"
04.03.2015,"62,36"
05.03.2015,"61,87"
06.03.2015,"61,85"
07.03.2015,"59,99"
11.03.2015,"60,66"
12.03.2015,"62,68"
13.03.2015,"60,96"
14.03.2015,"61,32"
17.03.2015,"62,15"
18.03.2015,"61,75"
19.03.2015,"61,35"
20.03.2015,"59,83"
21.03.2015,"60,03"
24.03.2015,"59,45"
25.03.2015,"58,77"
26.03.2015,"57,39"
27.03.2015,"56,43"
28.03.2015,"57,73"
31.03.2015,"58,46"
01.04.2015,"57,65"
02.04.2015,"58,35"
03.04.2015,"56,99"
04.04.2015,"56,75"
07.04.2015,"56,52"
08.04.2015,"55,33"
09.04.2015,"54,03"
10.04.2015,"52,54"
11.04.2015,"51,07"
14.04.2015,"52,42"
15.04.2015,"51,97"
16.04.2015,"50,5"
17.04.2015,"49,67"
18.04.2015,"50,53"
21.04.2015,"51,52"
22.04.2015,"53,97"
23.04.2015,"53,66"
24.04.2015,"51,6"
25.04.2015,"50,25"
28.04.2015,"51,47"
29.04.2015,"52,3"
30.04.2015,"51,7"
01.05.2015,"51,14"
06.05.2015,"51,76"
07.05.2015,"49,98"
08.05.2015,"50,36"
09.05.2015,"50,75"
13.05.2015,"50,91"
14.05.2015,"49,54"
15.05.2015,"50,08"
16.05.2015,"50,01"
19.05.2015,"49,22"
20.05.2015,"49,18"
21.05.2015,"49,79"
22.05.2015,"49,92"
23.05.2015,"49,79"
26.05.2015,"49,86"
27.05.2015,"50,32"
28.05.2015,"51,02"
29.05.2015,"52,29"
30.05.2015,"52,97"
02.06.2015,"52,82"
03.06.2015,"53,44"
04.06.2015,"53,06"
05.06.2015,"54,99"
06.06.2015,"56,25"
09.06.2015,"56,04"
10.06.2015,"55,91"
11.06.2015,"54,82"
12.06.2015,"54,53"
16.06.2015,"55,27"
17.06.2015,"54,04"
18.06.2015,"53,9"
19.06.2015,"53,33"
20.06.2015,"53,8"
23.06.2015,"53,56"
24.06.2015,"54,21"
25.06.2015,"54,07"
26.06.2015,"54,6"
27.06.2015,"54,81"
30.06.2015,"55,52"
01.07.2015,"55,84"
02.07.2015,"55,48"
03.07.2015,"55,66"
04.07.2015,"55,6"
07.07.2015,"56,41"
08.07.2015,"57,22"
09.07.2015,"57,22"
10.07.2015,"56,98"
11.07.2015,"56,67"
14.07.2015,"56,61"
15.07.2015,"56,98"
16.07.2015,"56,66"
17.07.2015,"56,95"
18.07.2015,"56,84"
21.07.2015,"56,83"
22.07.2015,57
23.07.2015,"57,02"
24.07.2015,"57,36"
25.07.2015,"58,04"
28.07.2015,"58,78"
29.07.2015,"60,22"
30.07.2015,"59,77"
31.07.2015,"58,99"
01.08.2015,"60,35"
04.08.2015,"62,47"
05.08.2015,"62,92"
06.08.2015,"62,72"
07.08.2015,"63,86"
08.08.2015,"63,84"
11.08.2015,"64,5"
12.08.2015,"63,21"
13.08.2015,"65,02"
14.08.2015,64
15.08.2015,"64,94"
18.08.2015,"65,5"
19.08.2015,"65,83"
20.08.2015,"65,72"
21.08.2015,"66,96"
22.08.2015,"68,12"
25.08.2015,"70,75"
26.08.2015,"69,95"
27.08.2015,"69,31"
28.08.2015,"67,45"
29.08.2015,"66,48"
01.09.2015,"66,72"
02.09.2015,"65,35"
03.09.2015,"66,68"
04.09.2015,"67,01"
05.09.2015,"67,69"
08.09.2015,"68,49"
09.09.2015,"68,79"
10.09.2015,"67,62"
11.09.2015,"68,5"
12.09.2015,"68,01"
15.09.2015,"67,96"
16.09.2015,"67,16"
17.09.2015,"65,93"
18.09.2015,"65,36"
19.09.2015,"65,64"
22.09.2015,"66,15"
23.09.2015,"66,17"
24.09.2015,"66,04"
25.09.2015,"66,52"
26.09.2015,"65,67"
29.09.2015,"65,55"
30.09.2015,"66,24"
01.10.2015,"65,74"
02.10.2015,"65,03"
03.10.2015,"65,94"
06.10.2015,"65,62"
07.10.2015,"65,1"
08.10.2015,"62,71"
09.10.2015,"62,29"
10.10.2015,"61,3"
13.10.2015,"61,15"
14.10.2015,"62,22"
15.10.2015,"63,12"
16.10.2015,"62,24"
17.10.2015,"61,36"
20.10.2015,"61,44"
21.10.2015,"62,16"
22.10.2015,"62,63"
23.10.2015,"62,79"
24.10.2015,"61,93"
27.10.2015,"62,5"
28.10.2015,"63,5"
29.10.2015,"65,32"
30.10.2015,"64,17"
31.10.2015,"64,37"
03.11.2015,"63,8"
04.11.2015,"63,85"
06.11.2015,"63,4"
07.11.2015,"63,68"
10.11.2015,"64,66"
11.11.2015,"64,39"
12.11.2015,"64,57"
13.11.2015,"65,45"
14.11.2015,"66,63"
17.11.2015,"66,46"
18.11.2015,"65,48"
19.11.2015,"64,78"
20.11.2015,"64,91"
21.11.2015,"64,87"
24.11.2015,"65,6"
25.11.2015,"65,62"
26.11.2015,"65,48"
27.11.2015,"65,68"
28.11.2015,"66,24"
01.12.2015,"66,74"
02.12.2015,"66,26"
03.12.2015,"66,74"
04.12.2015,"67,77"
