iter	RMSE
0	282210.7143
1	281084.4636
2	280117.919
3	279286.5235
4	278360.0363
5	277346.3146
6	276574.1496
7	275872.8933
8	275235.4137
9	274657.2441
10	274118.6175
11	273357.9739
12	272849.1909
13	272388.0272
14	271838.799
15	271256.9849
16	270888.8894
17	270456.2376
18	269987.6578
19	269672.4208
20	269423.7009
21	269079.5598
22	268675.152
23	268268.195
24	267967.543
25	267688.1668
26	267400.7501
27	267054.9474
28	266798.1718
29	266555.1496
30	266431.9628
31	266301.0685
32	266026.1398
33	265803.4602
34	265472.9107
35	265268.7587
36	265124.0946
37	264922.7093
38	264665.765
39	264464.0807
40	264374.5447
41	264203.6815
42	264096.911
43	263934.8352
44	263703.0229
45	263456.1679
46	263178.6257
47	262905.5765
48	262863.2793
49	262761.5564
50	262637.3472
51	262604.9491
52	262489.3593
53	262220.3242
54	261973.1873
55	261779.8479
56	261625.8862
57	261489.0446
58	261270.8668
59	261026.2885
60	260856.7383
61	260746.334
62	260609.3944
63	260514.8694
64	260300.7115
65	260060.7399
66	259938.3655
67	259869.7463
68	259812.0873
69	259591.9513
70	259485.2796
71	259267.5402
72	259100.1757
73	258946.2475
74	258856.9506
75	258676.8136
76	258582.5509
77	258382.6592
78	258251.6306
79	258023.5738
80	257855.2291
81	257666.4033
82	257399.8322
83	257244.7257
84	257110.5952
85	257010.5313
86	256816.1596
87	256666.2346
88	256462.1764
89	256149.1718
90	255869.8447
91	255550.653
92	255416.8935
93	255275.0591
94	255160.5702
95	255050.0172
96	254890.3375
97	254803.8488
98	254712.7397
99	254633.1136
100	254553.1757
101	254484.7057
102	254319.9421
103	254231.8977
104	254214.7828
105	254081.8609
106	253998.6368
107	253895.8994
108	253707.0279
109	253517.4044
110	253391.1525
111	253280.3792
112	253136.7359
113	252970.8675
114	252882.4204
115	252635.2242
116	252429.3789
117	252243.7292
118	252145.2105
119	252049.7053
120	251993.5318
121	251897.4175
122	251813.3265
123	251621.2955
124	251548.5219
125	251445.3956
126	251192.2512
127	250989.1874
128	250832.7358
129	250705.0233
130	250608.253
131	250404.6914
132	250252.9023
133	250175.9132
134	250064.9929
135	249967.5671
136	249832.6033
137	249761.612
138	249681.9736
139	249620.0325
140	249579.108
141	249461.7168
142	249341.6877
143	249242.9645
144	249050.3939
145	248992.7727
146	248937.4521
147	248836.5343
148	248650.5658
149	248564.3468
150	248330.5047
151	248221.1565
152	248149.86
153	248041.6908
154	247960.292
155	247809.5463
156	247625.0611
157	247457.9769
158	247390.9209
159	247279.1478
160	247008.8066
161	246958.7296
162	246873.8534
163	246729.117
164	246634.0116
165	246569.4888
166	246499.3254
167	246382.7988
168	246248.5887
169	246153.6686
170	246053.9583
171	245832.9007
172	245768.7199
173	245742.971
174	245673.4928
175	245436.9613
176	245162.8069
177	245010.3537
178	244949.6439
179	244857.7979
180	244798.4479
181	244666.3158
182	244455.5399
183	244339.8749
184	244123.4547
185	244006.0826
186	243890.5696
187	243773.2173
188	243546.8977
189	243394.5658
190	243226.6758
191	243145.73
192	243089.3983
193	242984.9203
194	242947.529
195	242833.7037
196	242719.1016
197	242602.4883
198	242308.7391
199	242231.4832
200	242075.5474
201	241770.6506
202	241677.8973
203	241609.9763
204	241516.1789
205	241127.2754
206	241023.1096
207	240907.863
208	240742.1576
209	240641.3897
210	240403.1503
211	240253.8766
212	240052.5969
213	239807.8352
214	239635.2975
215	239389.1589
216	239241.0586
217	239142.9226
218	238960.9342
219	238826.4537
220	238755.0041
221	238685.0221
222	238400.164
223	238336.8164
224	238230.623
225	238126.5155
226	237900.2712
227	237682.464
228	237525.7262
229	237425.3519
230	237150.0398
231	236980.8108
232	236887.1575
233	236712.597
234	236566.7012
235	236337.5127
236	236174.7657
237	236075.5508
238	235995.6406
239	235920.1031
240	235822.9699
241	235724.5478
242	235488.5098
243	235366.2959
244	235307.476
245	235108.5168
246	235012.9455
247	234965.4555
248	234739.8594
249	234690.3685
250	234594.4046
251	234536.0225
252	234453.7822
253	234332.3177
254	234260.8134
255	234181.4993
256	233921.5401
257	233733.3405
258	233692.6321
259	233610.2286
260	233528.5405
261	233331.3151
262	233280.8549
263	233074.7549
264	232948.7239
265	232783.0519
266	232658.2335
267	232619.6839
268	232580.4949
269	232504.3817
270	232293.7985
271	232058.304
272	231998.3094
273	231771.0158
274	231534.8473
275	231381.9019
276	231224.9323
277	231184.4421
278	231027.2105
279	230876.7727
280	230698.1151
281	230638.2256
282	230491.1429
283	230300.5404
284	230202.0479
285	230165.4583
286	230043.1331
287	229989.4571
288	229934.4276
289	229749.3703
290	229684.9328
291	229506.9947
292	229280.1886
293	229195.9757
294	228957.6485
295	228816.2476
296	228769.8214
297	228595.7923
298	228429.1098
299	228394.1976
300	228354.9665
301	228127.3141
302	228014.4004
303	227974.6531
304	227821.9186
305	227665.4194
306	227549.0375
307	227535.1579
308	227370.0769
309	227335.0283
310	227236.8942
311	227098.1154
312	226959.2743
313	226818.9008
314	226638.5207
315	226490.4943
316	226262.5635
317	226144.3057
318	225981.7404
319	225770.5023
320	225623.4085
321	225570.2446
322	225412.9415
323	225179.2826
324	225045.3799
325	224979.1226
326	224840.6833
327	224743.3975
328	224638.1013
329	224496.9279
330	224325.0641
331	224186.4819
332	223977.1718
333	223905.3038
334	223772.1405
335	223738.5897
336	223660.068
337	223468.6776
338	223299.2755
339	223103.5692
340	222940.9418
341	222732.7138
342	222704.6429
343	222551.7609
344	222289.8415
345	222158.6317
346	222108.3703
347	222078.9119
348	222076.6303
349	222000.2204
350	221898.6268
351	221727.9103
352	221539.0815
353	221386.4377
354	221288.9492
355	221143.0475
356	221077.6432
357	220949.4332
358	220782.9036
359	220644.0313
360	220579.8154
361	220444.9999
362	220414.0055
363	220354.9641
364	220190.4547
365	220122.5662
366	220070.785
367	219978.4223
368	219881.2214
369	219787.3234
370	219592.3635
371	219563.8633
372	219488.5441
373	219383.3803
374	219222.7597
375	219162.4092
376	219127.8555
377	219001.1832
378	218864.2182
379	218768.9606
380	218599.7927
381	218464.5002
382	218386.8269
383	218261.3755
384	218171.091
385	218128.0442
386	218001.5631
387	217944.5255
388	217816.5573
389	217752.4277
390	217690.9814
391	217533.6687
392	217427.6539
393	217342.7115
394	217222.1237
395	217043.1781
396	216812.7801
397	216539.1472
398	216493.1331
399	216434.8654
400	216372.4923
401	216275.3445
402	216103.6554
403	216015.0897
404	215861.6279
405	215825.6807
406	215722.1668
407	215660.992
408	215537.6676
409	215516.551
410	215414.5619
411	215148.7269
412	215009.0129
413	214855.5805
414	214675.2367
415	214521.1672
416	214358.3957
417	214315.1566
418	214137.9313
419	214079.1921
420	213918.7204
421	213789.475
422	213730.3559
423	213610.085
424	213449.5432
425	213346.6241
426	213241.3537
427	213210.4809
428	213092.0364
429	213030.8561
430	212934.3001
431	212791.682
432	212725.101
433	212580.4369
434	212498.5826
435	212404.2017
436	212286.7864
437	212190.0544
438	212049.9013
439	212022.9594
440	211977.3102
441	211770.9891
442	211748.5029
443	211605.5702
444	211463.7948
445	211333.1921
446	211278.6684
447	211223.6174
448	211136.4253
449	211091.0216
450	210913.559
451	210783.2954
452	210685.2862
453	210631.5044
454	210611.8134
455	210515.3727
456	210391.6153
457	210368.5923
458	210310.7966
459	210160.0604
460	210117.2061
461	210095.5232
462	210053.7177
463	209982.2827
464	209930.1114
465	209928.5707
466	209902.0882
467	209767.0385
468	209677.2999
469	209482.0825
470	209365.5179
471	209346.7217
472	209210.2662
473	209063.4381
474	208925.3186
475	208876.2143
476	208861.1089
477	208788.8907
478	208681.594
479	208548.2346
480	208487.499
481	208285.3728
482	208052.9246
483	207962.4136
484	207788.8881
485	207704.5416
486	207686.957
487	207640.5055
488	207541.3843
489	207462.1204
490	207250.4658
491	207208.7818
492	207130.0365
493	207003.1313
494	206857.8652
495	206782.9451
496	206657.0546
497	206528.5337
498	206473.3638
499	206435.5172
500	206325.7922
501	206137.6284
502	205966.8971
503	205845.5837
504	205784.6113
505	205636.8104
506	205544.9511
507	205419.454
508	205257.6628
509	205199.3119
510	205156.2975
511	204922.9685
512	204851.8342
513	204766.5892
514	204716.9525
515	204604.6298
516	204540.1802
517	204504.0072
518	204485.6882
519	204434.5054
520	204381.3319
521	204313.4092
522	204205.8503
523	204145.3288
524	204035.0337
525	203940.8354
526	203784.0385
527	203581.5148
528	203489.0598
529	203311.0572
530	203162.7046
531	203148.4413
532	203048.6206
533	202997.1156
534	202929.6023
535	202707.7571
536	202552.6274
537	202508.2038
538	202419.8915
539	202368.6531
540	202222.2154
541	202078.9525
542	202021.431
543	201968.6548
544	201942.6298
545	201817.5584
546	201703.1591
547	201569.3708
548	201499.5787
549	201456.6805
550	201263.0517
551	201241.0216
552	201188.5583
553	201138.4146
554	200997.2987
555	200875.2599
556	200741.5817
557	200624.9366
558	200585.0305
559	200509.2141
560	200344.2466
561	200248.9785
562	200143.9274
563	200084.3914
564	200066.3855
565	199952.1172
566	199899.8022
567	199750.7475
568	199666.8091
569	199621.8129
570	199599.5528
571	199463.2223
572	199395.8636
573	199309.5034
574	199307.9415
575	199216.5204
576	199111.0282
577	198926.4728
578	198925.0838
579	198788.0118
580	198669.4981
581	198486.6668
582	198449.2161
583	198314.8009
584	198313.4896
585	198233.6558
586	198202.0802
587	198095.8195
588	198050.4772
589	198032.1333
590	197992.5478
591	197912.4977
592	197907.936
593	197791.0551
594	197709.4324
595	197611.8667
596	197419.6788
597	197369.4016
598	197270.2075
599	197186.724
600	197150.2906
601	197101.7082
602	196961.4665
603	196882.162
604	196732.7129
605	196624.8701
606	196506.5705
607	196433.3867
608	196293.7822
609	196246.6114
610	196107.0135
611	195953.9405
612	195866.8203
613	195732.9768
614	195569.6027
615	195463.9665
616	195423.1913
617	195337.6461
618	195304.6699
619	195235.6904
620	195130.1185
621	195090.6349
622	195071.1114
623	194993.4257
624	194932.9574
625	194868.7797
626	194684.6938
627	194658.3639
628	194566.9775
629	194434.4414
630	194337.4252
631	194239.0612
632	194125.6924
633	194121.1539
634	194042.8995
635	194002.3033
636	193897.3821
637	193873.578
638	193787.923
639	193786.6841
640	193748.4391
641	193638.0497
642	193506.9523
643	193357.8031
644	193353.5076
645	193331.4704
646	193249.4677
647	193232.3991
648	193196.3265
649	193103.7627
650	193064.954
651	192900.2388
652	192823.2557
653	192730.1238
654	192604.6492
655	192581.7457
656	192474.5448
657	192397.9138
658	192304.1782
659	192196.2656
660	192097.1118
661	192055.961
662	192051.9112
663	191916.2599
664	191801.0946
665	191688.2269
