iter	Passed	Remaining
0	0	294
1	0	440
2	1	473
3	1	412
4	2	431
5	2	432
6	3	429
7	3	427
8	3	426
9	4	416
10	4	406
11	4	411
12	5	398
13	5	401
14	6	404
15	6	407
16	6	397
17	7	398
18	7	401
19	8	403
20	8	405
21	9	407
22	9	409
23	10	409
24	10	411
25	11	412
26	11	413
27	11	414
28	12	415
29	12	416
30	13	412
31	13	406
32	13	407
33	14	407
34	14	408
35	15	409
36	15	409
37	16	409
38	16	407
39	16	407
40	17	407
41	17	404
42	17	400
43	18	400
44	18	400
45	19	401
46	19	401
47	20	401
48	20	398
49	20	398
50	21	397
51	21	392
52	21	392
53	22	392
54	22	392
55	23	392
56	23	392
57	24	392
58	24	392
59	25	392
60	25	392
61	25	392
62	26	392
63	26	392
64	27	392
65	27	392
66	28	392
67	28	390
68	28	388
69	29	388
70	29	390
71	30	389
72	30	388
73	30	387
74	31	386
75	31	386
76	32	385
77	32	385
78	33	385
79	33	385
80	33	385
81	34	385
82	34	385
83	35	385
84	35	385
85	36	385
86	36	385
87	37	385
88	37	384
89	38	384
90	38	384
91	38	384
92	39	383
93	39	383
94	40	383
95	40	383
96	41	383
97	41	382
98	42	382
99	42	381
100	42	381
101	43	380
102	43	380
103	44	379
104	44	378
105	44	377
106	45	377
107	45	377
108	46	377
109	46	377
110	46	375
111	47	375
112	47	375
113	48	375
114	48	373
115	48	372
116	49	372
117	49	371
118	50	371
119	50	371
120	50	370
121	51	370
122	51	369
123	52	369
124	52	368
125	53	367
126	53	367
127	53	367
128	54	367
129	54	366
130	55	366
131	55	366
132	56	365
133	56	365
134	57	365
135	57	365
136	57	364
137	58	364
138	58	363
139	59	362
140	59	361
141	59	361
142	60	361
143	60	360
144	61	360
145	61	359
146	61	358
147	62	358
148	62	357
149	63	357
150	63	357
151	63	356
152	64	356
153	64	356
154	65	355
155	65	355
156	66	355
157	66	354
158	67	354
159	67	354
160	67	353
161	68	352
162	68	352
163	69	352
164	69	351
165	69	350
166	70	349
167	70	349
168	71	349
169	71	348
170	71	348
171	72	348
172	72	347
173	73	346
174	73	346
175	73	346
176	74	346
177	74	345
178	75	344
179	75	344
180	75	343
181	76	343
182	76	342
183	77	342
184	77	342
185	78	341
186	78	341
187	79	341
188	79	341
189	79	340
190	80	340
191	80	340
192	81	339
193	81	339
194	82	338
195	82	338
196	82	337
197	83	337
198	83	337
199	84	336
200	84	336
201	85	336
202	85	335
203	85	335
204	86	335
205	86	334
206	87	334
207	87	334
208	88	333
209	88	333
210	89	333
211	89	332
212	89	332
213	90	331
214	90	331
215	91	331
216	91	330
217	92	330
218	92	329
219	92	328
220	93	328
221	93	328
222	94	327
223	94	327
224	94	326
225	95	326
226	95	326
227	96	325
228	96	325
229	97	325
230	97	325
231	98	324
232	98	324
233	98	324
234	99	323
235	99	323
236	100	323
237	100	322
238	101	322
239	101	321
240	102	321
241	102	321
242	103	321
243	103	320
244	104	320
245	104	320
246	104	319
247	105	319
248	105	319
249	106	318
250	106	318
251	107	318
252	107	317
253	108	317
254	108	317
255	109	317
256	109	317
257	110	317
258	110	316
259	111	316
